Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2025,789.25,795.55,775.25,777.15,784.897327096558636819,59860,2265,46983954.00,15682,26.20,20.30,-12.10
31-July-2025,775.30,789.40,775.30,784.15,784.336994495024348930,75568,3089,59270778.00,26701,35.33,14.10,8.85
30-July-2025,805.25,805.25,786.15,788.90,792.121113783212122968,69026,3041,54676952.00,27337,39.60,19.10,-16.35
29-July-2025,789.80,805.00,787.00,800.40,798.936560010225384517,70413,2182,56255520.00,20358,28.91,18.00,10.60
28-July-2025,824.80,824.80,785.00,787.00,797.652391537864772930,134056,5263,106930089.00,42741,31.88,39.80,-37.80
25-July-2025,829.25,836.00,822.35,825.70,828.864679754518021225,58986,3180,48891412.00,21207,35.95,13.65,-3.55
24-July-2025,840.00,844.15,825.00,828.95,834.118218976943529505,75597,1837,63056835.00,24392,32.27,19.15,-11.05
23-July-2025,845.35,848.00,828.75,841.55,836.104521925665697719,64331,1992,53787440.00,22906,35.61,19.25,-3.80
22-July-2025,856.45,856.45,839.25,845.35,846.494042013763129300,55220,2977,46743401.00,23259,42.12,17.20,-11.10
21-July-2025,846.75,853.95,840.50,852.65,849.390437228330350294,27377,1271,23253762.00,12847,46.93,13.45,5.90
18-July-2025,850.00,852.35,838.25,844.80,847.136554084308833877,62532,2191,52973143.00,26567,42.49,14.10,-5.20
17-July-2025,849.00,855.60,839.00,846.85,847.372219975737970076,128596,3974,108968678.00,49528,38.51,16.60,-2.15
16-July-2025,833.90,847.95,833.00,844.55,841.310485616465310298,101644,3025,85514163.00,50407,49.59,14.95,10.65
15-July-2025,826.90,842.00,824.40,833.65,835.141965581588223097,48230,1445,40278897.00,18955,39.30,17.60,6.75
14-July-2025,815.05,831.80,814.90,826.40,823.010396765450748655,112535,2213,92617475.00,17769,15.79,16.90,11.35
11-July-2025,828.90,831.55,813.00,814.90,819.785202914965913705,46793,2556,38360209.00,23367,49.94,18.55,-14.00
10-July-2025,836.05,837.20,826.00,831.10,831.606468062850044674,45887,1908,38159926.00,18240,39.75,11.20,-4.95
9-July-2025,845.00,845.00,826.50,829.75,832.971410558278972221,77721,2393,64739371.00,41441,53.32,18.50,-15.25
8-July-2025,834.85,844.75,822.60,842.80,831.754754041369720146,57530,2027,47850851.00,14826,25.77,22.15,7.95
7-July-2025,831.15,839.15,828.00,831.45,834.121031593512183872,26018,1491,21702161.00,10465,40.22,11.15,0.30
4-July-2025,830.00,839.40,826.10,835.95,832.546546060241521306,43226,1323,35987657.00,16759,38.77,13.30,5.95
3-July-2025,831.80,838.60,828.10,829.55,832.337361320902130319,38398,1365,31960090.00,14624,38.09,10.50,-2.25
2-July-2025,849.90,850.80,824.25,831.80,834.280150389220423663,79261,1706,66125879.00,24137,30.45,26.55,-18.10
1-July-2025,842.05,851.50,836.60,842.50,843.353424044972530982,125232,3949,105614836.00,37089,29.62,14.90,0.45
30-June-2025,847.55,851.45,836.15,837.60,839.827114724613210490,54487,2247,45759660.00,21500,39.46,15.30,-9.95
27-June-2025,848.05,859.90,841.20,845.85,847.094371807898579493,297218,3751,251771695.00,237984,80.07,18.70,-2.20
26-June-2025,853.80,854.50,835.00,847.20,842.193132472366343334,141856,4216,119470149.00,39161,27.61,19.50,-6.60
25-June-2025,850.35,855.75,845.45,854.40,850.896735436627129420,45611,1472,38810251.00,11763,25.79,10.30,4.05
24-June-2025,861.45,869.15,847.60,849.45,860.457842791681353542,85110,2525,73233567.00,30550,35.89,21.55,-12.00
23-June-2025,844.15,861.75,844.15,852.45,852.827526674172966596,93255,3995,79530431.00,43717,46.88,17.60,8.30
20-June-2025,835.85,857.10,835.85,854.40,850.539882746377110771,48442,1981,41201853.00,21094,43.54,21.25,18.55
19-June-2025,847.90,849.80,833.65,839.40,842.098316132536664856,73640,3082,62012120.00,31119,42.26,16.15,-8.50
18-June-2025,864.00,867.00,842.00,844.85,852.885148424694955381,219640,4215,187327694.00,49651,22.61,25.00,-19.15
17-June-2025,863.65,882.00,849.85,851.40,865.656530417426017530,172845,4985,149624403.00,52067,30.12,32.15,-12.25
16-June-2025,850.20,862.70,843.70,859.05,853.733792918614692832,67162,3175,57338469.00,30370,45.22,19.00,8.85
13-June-2025,822.30,856.25,822.30,851.80,846.841054785178449647,65985,2431,55878807.00,22286,33.77,33.95,29.50
12-June-2025,868.95,870.00,846.05,847.70,857.119084740059447030,89155,3902,76416452.00,47397,53.16,23.95,-21.25
