Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2025,4240.10,4305.50,4178.95,4197.25,4247.480528667163067758,26860,5315,114087327.00,12440,46.31,126.55,-42.85
31-July-2025,4215.30,4349.00,4215.30,4267.40,4306.943596677612516901,77655,11206,334455705.00,27955,36.00,133.70,52.10
30-July-2025,3996.30,4324.00,3996.30,4285.15,4243.342324052135491985,212293,27800,900831872.00,93482,44.03,327.70,288.85
29-July-2025,3960.00,4008.75,3931.35,4000.65,3973.471855511460273750,12347,2616,49060457.00,5533,44.81,77.40,40.65
28-July-2025,3997.00,4014.20,3942.45,3951.20,3974.157287362872204017,7019,1839,27894610.00,2523,35.95,71.75,-45.80
25-July-2025,4012.05,4024.35,3951.05,3994.45,3988.189866873465167377,7737,1425,30856625.00,3272,42.29,73.30,-17.60
24-July-2025,4057.30,4063.45,4012.25,4019.85,4036.541727246292526897,3439,809,13881667.00,1567,45.57,51.20,-37.45
23-July-2025,4028.70,4050.00,3998.20,4042.70,4029.666210420658819235,10959,1293,44161112.00,3725,33.99,51.80,14.00
22-July-2025,4022.65,4081.65,4007.35,4032.75,4036.551200310472916782,18037,2842,72807274.00,5177,28.70,74.30,10.10
21-July-2025,4011.25,4047.45,4004.00,4025.05,4032.153892528435352276,24881,1486,100324021.00,19402,77.98,43.45,13.80
18-July-2025,4055.05,4071.45,4027.60,4047.50,4048.879296562749800159,12510,2428,50651480.00,6037,48.26,43.85,-7.55
17-July-2025,4096.60,4100.50,4047.25,4056.15,4067.669364372101482222,10997,2115,44732160.00,5246,47.70,53.25,-40.45
16-July-2025,4002.10,4126.00,4002.10,4086.45,4084.025973096737263880,13976,1872,57078347.00,4352,31.14,123.90,84.35
15-July-2025,4011.40,4057.50,3992.85,4025.70,4022.855307954193748065,19386,3083,77987073.00,7470,38.53,64.65,14.30
14-July-2025,4090.00,4100.00,3928.85,4012.80,4041.515428339423467316,93594,7853,378261595.00,64244,68.64,171.15,-77.20
11-July-2025,4194.95,4196.95,4041.70,4063.90,4087.982107682206172028,30460,5915,124519935.00,5784,18.99,155.25,-131.05
10-July-2025,4199.95,4210.25,4158.00,4167.85,4184.634480491012713722,9124,1466,38180605.00,2882,31.59,52.25,-32.10
