Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2025,1261.30,1261.30,1214.00,1219.60,1228.768374942893230496,111633,10585,137171100.00,46586,41.73,47.30,-41.70
31-July-2025,1256.10,1283.20,1256.10,1270.85,1272.660715297851839256,52929,3694,67360659.00,23492,44.38,27.10,14.75
30-July-2025,1302.00,1302.00,1277.35,1291.60,1289.396255936384051835,108652,5955,140095482.00,76706,70.60,24.65,-10.40
29-July-2025,1289.45,1302.00,1283.40,1300.05,1294.351007767426758910,40039,1501,51824520.00,20396,50.94,18.60,10.60
28-July-2025,1282.50,1290.00,1271.50,1286.55,1281.139000356696985910,44856,2564,57466771.00,21915,48.86,18.50,4.05
25-July-2025,1269.30,1287.95,1262.90,1277.60,1280.259567901234567901,45360,2947,58072574.00,17534,38.66,25.05,8.30
24-July-2025,1255.05,1287.90,1255.05,1264.85,1275.394143738567542720,211022,9480,269136223.00,82463,39.08,32.85,9.80
23-July-2025,1240.40,1252.40,1232.00,1247.55,1240.069040184167939279,43873,3479,54405549.00,16036,36.55,20.40,7.15
22-July-2025,1259.60,1261.45,1236.95,1240.40,1242.644543930093383178,65001,5422,80773138.00,27917,42.95,24.50,-19.20
21-July-2025,1253.95,1262.00,1245.20,1259.50,1255.668488126204689634,160311,6178,201297471.00,127445,79.50,16.80,5.55
18-July-2025,1263.30,1270.00,1251.45,1258.10,1258.209688392978636549,66141,2110,83219247.00,57855,87.47,18.55,-5.20
17-July-2025,1261.95,1274.00,1256.90,1263.25,1265.468819164171331857,15362,997,19440132.00,7371,47.98,17.10,1.30
16-July-2025,1262.70,1262.75,1250.05,1258.85,1256.347693285789313652,72354,3433,90901781.00,51624,71.35,12.70,-3.85
15-July-2025,1251.10,1264.55,1241.40,1261.15,1251.673927998165558358,13083,1102,16375650.00,5609,42.87,23.15,10.05
14-July-2025,1254.70,1261.00,1246.40,1250.95,1254.402622445044350173,10372,971,13010664.00,4085,39.38,14.60,-3.75
11-July-2025,1261.90,1272.10,1251.05,1254.00,1252.126918668045964156,214602,1711,268708941.00,204067,95.09,21.05,-7.90
10-July-2025,1269.40,1270.05,1252.05,1259.20,1260.758469308469308469,51480,5039,64903846.00,26980,52.41,18.00,-10.20
9-July-2025,1283.00,1285.50,1267.00,1269.55,1271.598660943279069139,74082,4021,94202572.00,44696,60.33,18.50,-13.45
8-July-2025,1314.00,1314.00,1273.85,1283.90,1283.651023694501955371,21735,2242,27900155.00,9260,42.60,40.15,-30.10
7-July-2025,1305.55,1313.85,1298.00,1310.05,1306.773908523908523908,15392,1161,20113864.00,6293,40.88,15.85,4.50
4-July-2025,1304.85,1312.00,1287.60,1305.10,1302.957518547672321356,161341,4401,210220469.00,125678,77.90,24.40,0.25
3-July-2025,1272.10,1297.00,1269.05,1293.25,1285.160692659472552103,55323,3301,71098945.00,24802,44.83,27.95,21.15
2-July-2025,1274.15,1280.05,1263.85,1271.75,1270.521559727666597895,33929,3067,43107526.00,15131,44.60,16.20,-2.40
1-July-2025,1283.95,1294.20,1273.10,1276.95,1281.118300354971356271,28453,2929,36451659.00,12977,45.61,21.10,-7.00
30-June-2025,1301.00,1303.05,1272.40,1283.70,1283.581675565846052072,42326,3271,54328878.00,19014,44.92,30.65,-17.30
27-June-2025,1344.95,1344.95,1298.90,1301.15,1308.237643323337449285,28345,1616,37081996.00,15801,55.75,46.05,-43.80
26-June-2025,1327.95,1332.60,1315.00,1321.20,1321.861249210858585858,50688,2523,67002503.00,19042,37.57,17.60,-6.75
25-June-2025,1317.60,1349.20,1317.60,1340.85,1340.555555555555555555,18234,1374,24443690.00,8330,45.68,31.60,23.25
24-June-2025,1317.00,1353.00,1310.95,1337.35,1336.816788493279886819,16964,1105,22677760.00,6904,40.70,42.05,20.35
23-June-2025,1212.35,1323.10,1212.35,1317.70,1313.022318726148177391,37995,2778,49888283.00,22805,60.02,110.75,105.35
20-June-2025,1327.05,1335.85,1318.00,1325.45,1326.796769740474875759,36220,3031,48056579.00,16599,45.83,17.85,-1.60
19-June-2025,1319.50,1331.25,1305.00,1326.40,1321.242934850568963361,31988,2606,42263919.00,12443,38.90,26.25,6.90
18-June-2025,1318.80,1324.80,1304.90,1312.75,1314.141379211797319310,34991,2262,45983121.00,22942,65.57,19.90,-6.05
17-June-2025,1346.80,1347.30,1303.70,1318.95,1324.945624982028352071,34777,2395,46077634.00,9523,27.38,43.60,-27.85
16-June-2025,1360.00,1360.00,1342.05,1346.75,1349.751402761749373234,25129,1656,33917903.00,13633,54.25,17.95,-13.25
13-June-2025,1335.00,1366.70,1335.00,1361.45,1358.481829050590412551,61059,4033,82947542.00,31141,51.00,31.70,26.45
12-June-2025,1367.90,1377.95,1344.60,1363.15,1365.173717600759940290,58952,3100,80479721.00,24847,42.15,33.35,-4.75
11-June-2025,1351.00,1355.40,1340.00,1350.50,1351.397710250374491761,93460,4385,126301630.00,58955,63.08,15.40,-0.50
10-June-2025,1319.50,1362.55,1319.50,1349.90,1344.633523678151592912,98593,5123,132571453.00,53123,53.88,43.05,30.40
9-June-2025,1321.40,1329.20,1309.85,1319.30,1317.392430360546866993,97574,4452,128543249.00,76359,78.26,19.35,-2.10
6-June-2025,1301.80,1322.40,1296.40,1320.50,1313.190588203666863809,74396,3058,97696127.00,27583,37.08,26.00,18.70
5-June-2025,1260.00,1303.45,1260.00,1289.90,1289.374528412906084079,288918,10269,372523510.00,120354,41.66,43.45,29.90
4-June-2025,1251.95,1266.00,1246.65,1252.15,1256.408610975555654141,45082,3043,56641413.00,18268,40.52,19.35,0.20
3-June-2025,1250.00,1251.20,1240.45,1248.60,1247.272809247686199857,79847,4686,99590992.00,50869,63.71,10.75,-1.40
2-June-2025,1248.15,1251.00,1232.55,1249.10,1244.703625311650258735,132761,7518,165248098.00,97606,73.52,18.45,0.95
30-May-2025,1249.95,1257.05,1241.65,1251.75,1250.943882376032689185,112086,2491,140213296.00,91098,81.28,15.40,1.80
29-May-2025,1249.00,1253.00,1240.65,1248.05,1247.352949626508331737,41768,3239,52099438.00,22456,53.76,12.35,-0.95
28-May-2025,1244.95,1251.50,1237.40,1243.30,1241.981992647516979251,80245,5057,99662845.00,57222,71.31,14.10,-1.65
27-May-2025,1245.00,1248.55,1237.30,1243.30,1245.860015559065513095,84838,3944,105696272.00,57595,67.89,11.25,-1.70
26-May-2025,1231.00,1246.80,1230.30,1242.85,1241.558728127275535647,45319,2160,56266200.00,24652,54.40,16.50,11.85
23-May-2025,1220.80,1234.70,1215.45,1229.75,1230.626994220381026732,79417,4449,97732704.00,52133,65.64,19.25,8.95
22-May-2025,1216.20,1229.00,1211.15,1222.65,1220.539457150037697914,39790,2769,48565265.00,12167,30.58,17.85,6.45
21-May-2025,1228.55,1256.10,1219.95,1224.75,1240.935570894497131580,120101,5953,149037603.00,37757,31.44,36.15,-3.80
20-May-2025,1229.80,1234.85,1216.50,1225.20,1228.351694702485563645,19915,1220,24462624.00,7148,35.89,18.35,-4.60
19-May-2025,1230.45,1242.05,1215.00,1218.75,1223.669109390697949293,33842,2476,41411410.00,13804,40.79,27.05,-11.70
16-May-2025,1235.20,1236.85,1221.20,1230.50,1228.074669737822640742,73805,4422,90638051.00,62793,85.08,15.65,-4.70
15-May-2025,1217.00,1239.00,1201.00,1234.85,1215.726911314984709480,39240,2342,47705124.00,16510,42.07,38.00,17.85
14-May-2025,1208.00,1222.45,1194.00,1219.85,1212.853654530522857924,18265,1465,22152772.00,,,28.45,11.85
13-May-2025,1192.45,1240.85,1192.45,1206.80,1223.930213240242261103,95104,4791,116400659.00,41355,43.48,48.40,14.35
12-May-2025,1157.50,1203.60,1143.05,1195.35,1177.402100621787866785,209557,10848,246732852.00,72037,34.38,60.55,37.85
9-May-2025,1130.05,1166.25,1130.05,1156.40,1146.915119949774071748,113089,6439,129703484.00,63494,56.15,36.20,26.35
8-May-2025,1160.05,1161.00,1141.10,1148.70,1150.431683921155758320,34194,3194,39337861.00,10245,29.96,19.90,-11.35
7-May-2025,1121.20,1163.90,1121.20,1160.05,1156.549712351945854483,14775,1060,17088022.00,6472,43.80,42.70,38.85
6-May-2025,1175.20,1175.20,1130.00,1159.90,1157.128450106157112526,51810,5168,59950825.00,18863,36.41,45.20,-15.30
5-May-2025,1175.05,1194.05,1154.80,1172.50,1171.492447671873766692,139361,5794,163260359.00,79647,57.15,39.25,-2.55
2-May-2025,1175.00,1195.00,1171.70,1182.90,1180.586498396954814539,83279,2736,98318063.00,67132,80.61,23.30,7.90
30-April-2025,1176.25,1196.00,1176.25,1183.00,1187.108424004486819966,44575,3098,52915358.00,20930,46.95,19.75,6.75
29-April-2025,1210.00,1210.00,1168.65,1176.25,1180.016059898084953733,54359,4963,64144493.00,18402,33.85,41.35,-33.75
28-April-2025,1173.60,1204.70,1173.60,1199.70,1196.102963015345449402,28282,1685,33828184.00,9487,33.54,31.10,26.10
25-April-2025,1208.45,1210.45,1159.20,1173.55,1180.731993466904384904,80207,5518,94702971.00,39611,49.39,51.25,-34.90
24-April-2025,1183.70,1210.00,1177.55,1201.45,1193.086277092563764818,66808,3221,79707708.00,40364,60.42,32.45,17.75
23-April-2025,1182.15,1191.90,1176.85,1185.95,1184.091867185434215993,26473,1668,31346464.00,8363,31.59,15.05,3.80
22-April-2025,1179.95,1179.95,1163.40,1174.85,1174.487273494872734948,90009,3011,105714425.00,74698,82.99,16.55,-5.10
21-April-2025,1167.05,1179.00,1155.10,1177.15,1169.016789251740708051,50985,3715,59602321.00,26898,52.76,23.90,10.10
17-April-2025,1150.00,1173.20,1150.00,1163.70,1164.163722578291907665,38382,2976,44682932.00,24143,62.90,23.20,13.70
16-April-2025,1154.00,1160.95,1144.00,1159.50,1152.279506400804751340,290276,14818,334479086.00,256514,88.37,16.95,5.50
15-April-2025,1137.00,1157.85,1129.85,1155.80,1143.927647378675970818,88276,2870,100981357.00,63749,72.22,28.00,18.80
11-April-2025,1142.90,1142.90,1104.75,1109.15,1118.219309681224198404,64434,4557,72051343.00,21925,34.03,38.15,-33.75
9-April-2025,1084.80,1103.00,1062.20,1095.15,1091.915402191653065982,107225,7456,117080629.00,54868,51.17,40.80,10.35
8-April-2025,1110.00,1113.80,1089.00,1108.55,1101.588879608185580318,52678,3900,58029499.00,19357,36.75,24.80,-1.45
7-April-2025,1025.90,1098.75,1025.90,1088.65,1087.980225957745244148,182512,8266,198569447.00,122988,67.39,72.85,62.75
4-April-2025,1159.50,1159.50,1076.40,1109.75,1103.460580773242706685,208033,10081,229556215.00,143637,69.05,83.10,-49.75
3-April-2025,1194.60,1226.90,1149.25,1151.25,1186.540134383737866658,188118,8279,223209557.00,39561,21.03,77.65,-43.35
2-April-2025,1141.50,1153.50,1135.50,1149.75,1142.323803245661464621,135011,5339,154226279.00,107273,79.46,18.00,8.25
1-April-2025,1144.00,1164.50,1136.10,1152.40,1153.494828858346985480,79963,3160,92236907.00,54838,68.58,28.40,8.40
28-March-2025,1160.00,1160.00,1140.65,1144.05,1147.089842821291771232,75710,5565,86846172.00,34370,45.40,19.35,-15.95
27-March-2025,1161.00,1168.45,1143.75,1162.35,1152.107014504131951729,295502,12453,340449927.00,244245,82.65,24.70,1.35
26-March-2025,1170.75,1177.95,1153.20,1163.85,1166.297489078421515995,360067,19834,419945238.00,287846,79.94,24.75,-6.90
25-March-2025,1217.95,1217.95,1168.50,1180.55,1178.012862761003237417,138073,4819,162651770.00,96421,69.83,49.45,-37.40
24-March-2025,1205.00,1215.95,1190.75,1210.00,1208.618369152133137023,347071,15339,419476386.00,319796,92.14,25.20,5.00
21-March-2025,1198.60,1203.80,1178.25,1199.30,1195.288116242864556305,48175,2346,57583005.00,29739,61.73,25.55,0.70
20-March-2025,1187.80,1190.75,1166.50,1186.65,1180.991994663108739159,17988,1838,21243684.00,7572,42.09,24.25,-1.15
19-March-2025,1175.60,1175.60,1158.40,1171.90,1168.497931268369884693,88460,6136,103365327.00,58584,66.23,17.20,-3.70
18-March-2025,1164.45,1166.20,1149.70,1164.70,1164.344739991182583503,190532,8720,221844932.00,170754,89.62,16.50,0.25
17-March-2025,1105.35,1153.40,1102.15,1150.45,1142.474609036611498654,109665,4685,125289478.00,61447,56.03,51.25,45.10
13-March-2025,1125.00,1125.00,1095.35,1107.85,1101.747345559845559845,29008,2662,31959487.00,12352,42.58,29.65,-17.15
12-March-2025,1124.20,1124.20,1093.00,1105.25,1101.267409108636304545,207693,14000,228725532.00,179839,86.59,31.20,-18.95
11-March-2025,1119.00,1127.05,1110.80,1116.80,1118.777140557400140859,9939,1210,11119526.00,3002,30.20,16.25,-2.20
10-March-2025,1137.15,1137.15,1116.30,1120.15,1127.561296310619537473,12929,1716,14578240.00,3715,28.73,20.85,-17.00
7-March-2025,1148.95,1148.95,1130.50,1132.80,1137.680203293749694570,20463,1601,23280350.00,6887,33.66,18.45,-16.15
6-March-2025,1130.00,1145.90,1119.40,1138.80,1131.397549604866678037,35178,3631,39800303.00,17778,50.54,26.50,8.80
5-March-2025,1120.20,1128.85,1111.55,1126.55,1126.030654096608027991,51445,3101,57928647.00,39262,76.32,17.30,6.35
4-March-2025,1105.10,1124.40,1105.10,1120.20,1115.993186558516801853,21575,3179,24077553.00,8059,37.35,19.30,15.10
3-March-2025,1117.65,1130.00,1104.55,1119.80,1115.736739740490678225,35991,4563,40156481.00,17842,49.57,25.45,2.15
28-February-2025,1125.90,1129.00,1105.00,1117.65,1116.827636525948943329,58249,6816,65054093.00,27588,47.36,24.00,-8.25
27-February-2025,1131.85,1136.15,1115.65,1125.90,1126.080356918436596707,39785,2670,44801107.00,18317,46.04,20.50,-5.95
25-February-2025,1174.80,1174.80,1123.20,1126.55,1135.247004874957974500,618672,8659,702345535.00,589003,95.20,51.60,-48.25
24-February-2025,1145.05,1173.95,1145.05,1164.75,1167.276207403775435155,81580,4889,95226393.00,44954,55.10,28.90,19.70
21-February-2025,1171.60,1171.65,1146.00,1151.95,1152.726249906303875271,133410,4177,153785209.00,113440,85.03,25.65,-19.65
20-February-2025,1160.55,1173.55,1156.95,1170.90,1168.282554239375026535,47106,3402,55033118.00,35555,75.48,16.60,10.35
19-February-2025,1161.90,1176.95,1128.90,1164.70,1162.033325354397723343,112797,10819,131073873.00,66000,58.51,48.05,2.80
18-February-2025,1204.95,1204.95,1182.95,1197.85,1195.330451102620819089,74595,4912,89165675.00,53954,72.33,22.00,-7.10
17-February-2025,1200.00,1202.00,1183.85,1199.75,1195.541061452513966480,14320,1694,17120148.00,4550,31.77,18.15,-0.25
14-February-2025,1215.55,1229.80,1186.50,1195.85,1198.585180270768975597,48233,6817,57811359.00,18998,39.39,43.30,-19.70
13-February-2025,1216.00,1243.05,1216.00,1223.30,1230.521393860376911224,42185,3610,51909545.00,15637,37.07,27.05,7.30
12-February-2025,1212.05,1220.00,1202.60,1215.90,1212.184925034647851833,31748,3387,38484447.00,13845,43.61,17.40,3.85
11-February-2025,1212.05,1222.00,1201.80,1211.80,1210.308288409703504043,14840,1634,17960975.00,5738,38.67,20.20,-0.25
10-February-2025,1241.45,1241.45,1212.00,1220.85,1221.080982855336967685,25314,4034,30910444.00,9910,39.15,29.45,-20.60
7-February-2025,1237.15,1243.40,1226.60,1240.65,1235.252846837178799260,16773,2268,20718896.00,6043,36.03,16.80,3.50
6-February-2025,1239.05,1254.00,1230.90,1236.10,1241.246947930270853443,52833,4537,65578800.00,26275,49.73,23.10,-2.95
5-February-2025,1229.80,1233.15,1216.20,1227.95,1226.246350984385607603,11784,1250,14450087.00,4480,38.02,16.95,-1.85
4-February-2025,1209.95,1232.30,1202.00,1219.65,1220.724180982820615261,40048,3320,48887562.00,14780,36.91,30.30,9.70
3-February-2025,1192.25,1220.00,1192.25,1204.00,1209.188961188529310146,34732,3475,41997551.00,14890,42.87,27.75,11.75
1-February-2025,1225.10,1225.10,1200.05,1205.30,1206.765077577577577577,31968,3684,38577866.00,,,25.05,-19.80
31-January-2025,1203.00,1221.40,1195.00,1217.60,1211.070850039017302155,37163,3378,45007026.00,14869,40.01,26.40,14.60
30-January-2025,1185.55,1204.55,1184.15,1194.90,1196.870881247235736399,36176,4479,43298001.00,15185,41.98,20.40,9.35
29-January-2025,1188.75,1189.00,1174.00,1181.85,1181.057636251214557017,22642,2000,26741507.00,7258,32.06,15.00,-6.90
28-January-2025,1190.05,1197.40,1165.00,1179.85,1179.435754313686402197,45147,4433,53247986.00,21865,48.43,32.40,-10.20
27-January-2025,1224.70,1234.65,1192.00,1197.40,1210.206116158338741077,61640,9963,74597105.00,28199,45.75,42.65,-27.30
24-January-2025,1247.95,1247.95,1203.60,1224.70,1224.791973088553688693,167661,10219,205349847.00,50734,30.26,44.35,-23.25
23-January-2025,1293.95,1303.00,1274.90,1289.35,1287.264168142962797337,58141,5114,74842826.00,14658,25.21,28.10,-4.60
22-January-2025,1289.25,1308.30,1288.45,1296.30,1297.443852737399809808,36805,3518,47752421.00,15949,43.33,19.85,7.05
21-January-2025,1303.00,1312.75,1286.25,1288.45,1298.189146382127375791,11996,1248,15573077.00,5043,42.04,26.50,-14.55
20-January-2025,1306.90,1306.95,1294.00,1302.05,1300.606532266034193102,20238,2527,26321675.00,8897,43.96,12.95,-4.85
17-January-2025,1300.00,1320.25,1287.65,1309.85,1303.165571552807034496,41396,3728,53945842.00,14414,34.82,32.60,9.85
16-January-2025,1337.50,1345.00,1296.90,1303.30,1312.860587594333911780,49558,4668,65062745.00,17581,35.48,48.10,-34.20
15-January-2025,1340.00,1345.80,1314.90,1339.20,1327.881428661576323594,15847,1211,21042937.00,3891,24.55,30.90,-0.80
14-January-2025,1334.15,1348.10,1323.75,1337.30,1337.874053155067756576,523713,1493,700662034.00,504696,96.37,24.35,3.15
13-January-2025,1354.00,1354.00,1331.25,1334.15,1339.781618595288271003,31793,2265,42595677.00,9357,29.43,22.75,-19.85
10-January-2025,1365.00,1385.00,1352.40,1354.20,1365.754791931813799220,51858,3838,70825312.00,25130,48.46,32.60,-10.80
9-January-2025,1381.00,1382.50,1364.45,1371.60,1373.288827451618149292,18447,1669,25333059.00,3955,21.44,18.05,-9.40
8-January-2025,1370.90,1404.60,1361.55,1370.60,1382.643960845579260850,81932,4670,113282785.00,11929,14.56,43.05,-0.30
7-January-2025,1350.65,1373.00,1347.50,1350.75,1360.274954557593404605,116081,6612,157902077.00,79950,68.87,25.50,0.10
6-January-2025,1364.95,1364.95,1333.25,1350.65,1341.928344632821486893,319041,21512,428130161.00,274437,86.02,31.70,-14.30
3-January-2025,1376.00,1378.80,1347.40,1352.75,1357.265786127984178556,28316,2144,38432338.00,9102,32.14,31.40,-23.25
2-January-2025,1370.05,1386.85,1369.85,1373.70,1376.137599542434774957,45458,3614,62556463.00,22301,49.06,17.00,3.65
1-January-2025,1390.95,1390.95,1356.25,1369.50,1368.480746757041019048,34228,2395,46840359.00,7396,21.61,34.70,-21.45
31-December-2024,1371.95,1395.00,1368.00,1388.25,1384.973603504928806133,63910,5497,88513663.00,30662,47.98,27.00,16.30
30-December-2024,1391.00,1391.00,1372.90,1377.55,1381.204066373335633968,34773,2695,48028609.00,8876,25.53,18.10,-13.45
27-December-2024,1355.30,1398.70,1346.90,1389.35,1383.504058853373921867,63072,4748,87260368.00,26418,41.89,51.80,34.05
26-December-2024,1348.00,1360.15,1342.20,1355.15,1352.994752257749572858,49164,4253,66518634.00,22921,46.62,17.95,7.15
24-December-2024,1349.90,1365.00,1336.70,1351.25,1351.381100532019526224,442277,2999,597684779.00,408297,92.32,28.30,1.35
23-December-2024,1369.15,1369.15,1330.30,1340.80,1348.952412825906801810,62748,3847,84644066.00,10844,17.28,38.85,-28.35
20-December-2024,1328.95,1368.00,1318.35,1342.45,1352.204503404918969709,206466,11360,279184255.00,78501,38.02,49.65,13.50
19-December-2024,1270.05,1330.45,1270.05,1326.00,1313.840200846222721606,113918,6355,149670048.00,19575,17.18,60.40,55.95
18-December-2024,1267.95,1280.70,1250.10,1275.05,1274.620357878819326049,67453,5019,85976967.00,26177,38.81,30.60,7.10
17-December-2024,1269.95,1270.40,1243.75,1248.00,1257.269973208765542350,29114,2252,36604158.00,13632,46.82,26.65,-21.95
16-December-2024,1246.30,1272.90,1245.25,1269.90,1258.619563883320378022,24443,1519,30764438.00,7625,31.20,27.65,23.60
13-December-2024,1242.95,1250.00,1227.00,1246.30,1236.614655492101164429,67415,5947,83366377.00,41995,62.29,23.00,3.35
12-December-2024,1245.90,1249.75,1226.40,1245.95,1236.119515608835879023,16433,1482,20313152.00,4681,28.49,23.35,0.05
11-December-2024,1247.80,1247.80,1226.50,1238.45,1238.606307923006956906,40679,3926,50385266.00,30306,74.50,21.30,-9.35
10-December-2024,1254.80,1254.80,1233.00,1239.95,1240.401041791978442364,83126,4061,103109577.00,58965,70.93,21.80,-14.85
9-December-2024,1261.30,1261.80,1244.00,1254.80,1254.328625863300785901,41990,3105,52669259.00,24647,58.70,17.80,-6.50
