Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2025,667.40,668.95,647.20,648.75,651.345560766123972281,5379025,51772,3503604055.00,4041174,75.13,21.75,-18.65
31-July-2025,660.00,673.40,652.05,666.05,665.570993611074138160,841456,18944,560048706.00,367851,43.72,21.35,6.05
30-July-2025,691.95,691.95,665.45,668.40,669.555619802556028395,1485586,47098,994682455.00,744059,50.09,26.50,-23.55
29-July-2025,682.30,694.10,680.95,692.40,688.171404672974121342,449521,14167,309347498.00,219973,48.93,13.15,10.10
28-July-2025,688.35,700.60,678.80,682.30,689.088716104868913857,667500,12554,459966718.00,269594,40.39,21.80,-6.05
25-July-2025,700.60,702.05,685.00,687.30,690.978317483422775350,993381,24535,686404732.00,532088,53.56,17.05,-13.30
24-July-2025,693.00,706.50,692.95,700.60,702.196169717713211460,1423446,29033,999538329.00,692038,48.62,13.55,7.60
23-July-2025,677.50,692.95,676.65,690.20,688.621124900115784152,674531,12635,464496296.00,242657,35.97,16.30,12.70
22-July-2025,688.15,688.45,672.50,673.30,677.778446808620042472,388954,10339,263624638.00,165084,42.44,15.95,-14.85
21-July-2025,682.65,688.65,671.25,687.30,681.188478553458762330,352178,8893,239899596.00,132211,37.54,17.40,4.65
18-July-2025,683.30,685.85,678.00,680.15,681.711896789079967189,488863,13952,333263723.00,210759,43.11,7.85,-3.15
17-July-2025,679.30,686.75,677.95,681.75,683.436596687261351479,689822,13924,471449600.00,354098,51.33,8.80,2.45
16-July-2025,684.00,684.00,676.35,679.00,678.967541002956183036,559167,16407,379656243.00,301214,53.87,7.65,-5.00
15-July-2025,674.65,686.30,674.60,684.95,681.025826115804315114,337604,8342,229917043.00,134086,39.72,11.70,10.30
14-July-2025,681.75,681.75,672.05,674.50,676.838993919982252171,432729,10467,292887861.00,221997,51.30,9.70,-7.25
11-July-2025,691.30,698.50,677.25,681.60,687.835610186509264611,361537,10438,248678023.00,148890,41.18,21.25,-9.70
10-July-2025,692.40,696.30,685.05,695.50,691.376567156075889331,976211,22180,674929410.00,556260,56.98,11.25,3.10
9-July-2025,688.60,695.00,688.60,692.85,692.089587954019285012,720041,15614,498332879.00,363877,50.54,6.40,4.25
8-July-2025,691.40,696.90,687.20,693.25,691.950784492194588013,1366744,24493,945719583.00,529285,38.73,9.70,1.85
7-July-2025,693.85,693.85,683.70,688.85,688.772431528995095357,402068,8584,276933354.00,202822,50.44,10.15,-5.00
4-July-2025,690.40,693.20,686.20,688.95,688.852009941646855413,666288,18546,458973828.00,280798,42.14,7.00,-1.45
3-July-2025,694.50,696.85,688.70,690.40,692.691071345399670240,536755,10217,371805396.00,237265,44.20,8.15,-4.10
2-July-2025,683.95,692.00,680.70,688.40,687.736286488833735109,1052411,21640,723781233.00,441672,41.97,11.30,4.45
1-July-2025,688.10,693.80,680.35,683.95,686.434514447511748241,1043986,26573,716628023.00,327898,31.41,13.45,-4.15
30-June-2025,689.90,691.95,685.00,688.05,688.827464396353830038,628166,11559,432697993.00,342886,54.59,6.95,-1.85
27-June-2025,684.15,691.00,683.10,686.70,688.137811120072185446,751398,17880,517065375.00,360211,47.94,7.90,2.55
26-June-2025,676.95,683.75,674.65,683.00,679.374469137752906620,481057,8807,326817844.00,228678,47.54,9.10,6.05
25-June-2025,676.05,678.80,673.40,674.40,675.922763817731219869,515678,10532,348558499.00,292663,56.75,5.40,-1.65
24-June-2025,677.30,686.60,672.45,673.55,679.898785086582439358,1195970,25554,813138550.00,426816,35.69,14.15,-3.75
23-June-2025,671.40,675.70,666.25,671.30,671.423854568353483270,590738,9551,396635585.00,323900,54.83,9.45,-0.10
20-June-2025,674.75,678.85,670.20,676.10,675.472573379462881608,394252,8813,266306413.00,157057,39.84,8.65,1.35
19-June-2025,671.25,676.00,666.80,672.20,671.471078052953326795,479290,11526,321829373.00,185749,38.76,9.20,0.95
18-June-2025,673.40,679.45,668.00,670.10,673.031993266184411347,915974,31444,616479807.00,388183,42.38,11.45,-3.30
17-June-2025,687.00,687.05,672.00,675.00,678.104457173573813325,1763584,50808,1195894171.00,645502,36.60,15.05,-12.00
16-June-2025,709.60,714.00,672.75,686.70,685.292644849581335193,1919077,40137,1315129353.00,724819,37.77,41.25,-22.90
13-June-2025,699.50,715.00,698.40,712.05,706.463248076888432506,888144,13756,627441095.00,438429,49.36,16.60,12.55
12-June-2025,736.05,737.75,711.45,715.00,723.712751291219705999,1006800,17793,728633998.00,619012,61.48,26.30,-21.05
11-June-2025,733.00,743.80,730.25,736.25,736.474655611300619016,702404,13242,517302744.00,272115,38.74,13.55,3.25
10-June-2025,718.05,734.65,715.55,732.25,728.956154184398220261,1341770,24220,978091499.00,523787,39.04,19.10,14.20
9-June-2025,714.05,726.00,713.30,717.80,719.720644332514347106,1122526,27027,807905136.00,473352,42.17,12.70,3.75
6-June-2025,710.00,715.80,701.30,711.30,709.503814028108701292,670682,10945,475851437.00,249453,37.19,14.50,1.30
5-June-2025,712.50,714.00,704.00,710.10,709.278046963001473009,1154100,24007,818577794.00,538284,46.64,10.00,-2.40
4-June-2025,703.00,715.50,699.00,709.95,709.233453499520613614,521500,10072,369865246.00,189701,36.38,16.50,6.95
3-June-2025,715.30,718.35,702.60,703.55,707.864641536161171008,635350,14653,449741800.00,263012,41.40,15.75,-11.75
2-June-2025,712.25,719.15,707.45,711.40,712.249774017653699237,480126,11791,341969635.00,206690,43.05,11.70,-0.85
30-May-2025,724.45,728.25,712.50,719.45,718.795265356469884897,528572,12862,379935051.00,223054,42.20,15.75,-5.00
29-May-2025,724.40,728.60,719.90,724.45,724.013509103682370762,701749,18129,508075756.00,278388,39.67,8.70,0.05
28-May-2025,718.05,722.35,716.25,717.95,719.200758418861547339,485220,9255,348970592.00,224441,46.26,6.10,-0.10
27-May-2025,729.05,729.55,715.25,716.45,719.586439772314040386,1077976,29437,775696912.00,543247,50.40,14.30,-12.60
26-May-2025,724.95,738.00,721.40,729.05,732.279760447414246061,727022,15523,532383496.00,280657,38.60,16.60,4.10
23-May-2025,720.90,722.05,715.00,718.15,718.798411876458951694,612169,15746,440026105.00,258724,42.26,7.05,-2.75
22-May-2025,725.80,725.80,710.20,717.75,716.528918959397681158,420641,8884,301401441.00,154849,36.81,15.60,-8.05
